"no","Word","Sub_Type","Type2","Type3","wildcard","wildsort","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Old_Term","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor"
7781,"patzig(e|er|en) (.*)medien","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenmedien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"patzig(e|er|en) (.*)medien",,,,,,,"#DIV/0!"
7782,"patzig(e|er|en) multis","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenmultis",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"patzig(e|er|en) multis",,,,,,,"#DIV/0!"
7783,"patzig(e|er|en) partei","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenpartei",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"patzig(e|er|en) partei",,,,,,,"#DIV/0!"
7784,"patzig(e|er|en) parteien","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenparteien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"patzig(e|er|en) parteien",,,,,,,"#DIV/0!"
7785,"patzig(e|er|en) regierung(en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenregierungen",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"patzig(e|er|en) regierung(en)?",,,,,,,"#DIV/0!"
7786,"patzig(e|er|en) wirtschaft","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenwirtschaft",TRUE,FALSE,FALSE,2019-04-11,0,0.98,3,"patzig(e|er|en) wirtschaft",,,,,,,"#DIV/0!"
7787,"patzig(e|er|en) wissenschaft(en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeerenwissenschaften",TRUE,FALSE,FALSE,2019-04-11,0,1.03,3,"patzig(e|er|en) wissenschaft(en)?",,,,,,,"#DIV/0!"
7788,"patzig(e|er|es|en|em) konglomerat(e|es|s|en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeeresenemkonglomerateessen",TRUE,FALSE,FALSE,2019-04-11,0,1.21,3,"patzig(e|er|es|en|em) konglomerat(e|es|s|en)?",,,,,,,"#DIV/0!"
7789,"patzig(e|er|es|en|em) politiker(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeeresenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"patzig(e|er|es|en|em) politiker(s|n|innen|in)?",,,,,,,"#DIV/0!"
7790,"patzig(e|es|en|em) (.*)establishment(s)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeesenemestablishments",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"patzig(e|es|en|em) (.*)establishment(s)?",,,,,,,"#DIV/0!"
7791,"patzig(e|es|en|em) system(s)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","patzigeesenemsystems",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"patzig(e|es|en|em) system(s)?",,,,,,,"#DIV/0!"
7792,"penetrant(e|er|en) bürokratie","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenbürokratie",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) bürokratie",,,,,,,"#DIV/0!"
7793,"penetrant(e|er|en) (.*)elite(n)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteereneliten",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en) (.*)elite(n)?",,,,,,,"#DIV/0!"
7794,"penetrant(e|er|en|em) bürokrat(en|in|innen)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenembürokratenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) bürokrat(en|in|innen)?",,,,,,,"#DIV/0!"
7795,"penetrant(e|er|en|em) expert(e|en|in|innen)","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemexperteenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) expert(e|en|in|innen)",,,,,,,"#DIV/0!"
7796,"penetrant(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemfachmaännerseseern",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?",,,,,,,"#DIV/0!"
7797,"penetrant(e|er|en|em) forscher(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemforschersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) forscher(s|n|innen|in)?",,,,,,,"#DIV/0!"
7798,"penetrant(e|er|en|em) gelehrte(n|r)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemgelehrtenr",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) gelehrte(n|r)?",,,,,,,"#DIV/0!"
7799,"penetrant(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemgroßssunternehmerrsrnrinrinnenn",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?",,,,,,,"#DIV/0!"
7800,"penetrant(e|er|en|em) herrschende(n|r)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemherrschendenr",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) herrschende(n|r)?",,,,,,,"#DIV/0!"
7801,"penetrant(e|er|en|em) intellektuelle(n|r)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemintellektuellenr",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) intellektuelle(n|r)?",,,,,,,"#DIV/0!"
7802,"penetrant(e|er|en|em) journalismus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemjournalismus",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) journalismus",,,,,,,"#DIV/0!"
7803,"penetrant(e|er|en|em) journalist(en|in|innen)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemjournalistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) journalist(en|in|innen)?",,,,,,,"#DIV/0!"
7804,"penetrant(e|er|en|em) (.*)kapitalist(en|in|innen)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemkapitalistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) (.*)kapitalist(en|in|innen)?",,,,,,,"#DIV/0!"
7805,"penetrant(e|er|en|em) (.*)konzern(e|es|s|en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemkonzerneessen",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) (.*)konzern(e|es|s|en)?",,,,,,,"#DIV/0!"
7806,"penetrant(e|er|en|em) leistungsträger(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemleistungsträgersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.96,3,"penetrant(e|er|en|em) leistungsträger(s|n|innen|in)?",,,,,,,"#DIV/0!"
7807,"penetrant(e|er|en|em) medienvertreter(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,"never appeared term","penetranteerenemmedienvertretersninnenin",TRUE,FALSE,FALSE,2019-04-18,0,0.95,3,"penetrant(e|er|en|em) medienvertreter(s|n|innen|in)?",,,,,,,"#DIV/0!"
7808,"penetrant(e|er|en|em) politiker(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) politiker(s|n|innen|in)?",,,,,,,"#DIV/0!"
7809,"penetrant(e|er|en|em) regent(en|in|innen)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemregentenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) regent(en|in|innen)?",,,,,,,"#DIV/0!"
7810,"penetrant(e|er|en|em) regierende(n|r)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemregierendenr",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) regierende(n|r)?",,,,,,,"#DIV/0!"
7811,"penetrant(e|er|en|em) souverän(s)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemsouveräns",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) souverän(s)?",,,,,,,"#DIV/0!"
7812,"penetrant(e|er|en|em) spezialist(en|in|innen)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemspezialistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) spezialist(en|in|innen)?",,,,,,,"#DIV/0!"
7813,"penetrant(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenemwissenschaftlersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?",,,,,,,"#DIV/0!"
7814,"penetrant(e|er|en) fachfrau(en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenfachfrauen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) fachfrau(en)?",,,,,,,"#DIV/0!"
7815,"penetrant(e|er|en) fachleute(n)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenfachleuten",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) fachleute(n)?",,,,,,,"#DIV/0!"
7816,"penetrant(e|er|en) forschung","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenforschung",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) forschung",,,,,,,"#DIV/0!"
7817,"penetrant(e|er|en) (.*)medien","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenmedien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) (.*)medien",,,,,,,"#DIV/0!"
7818,"penetrant(e|er|en) multis","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenmultis",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) multis",,,,,,,"#DIV/0!"
7819,"penetrant(e|er|en) partei","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenpartei",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) partei",,,,,,,"#DIV/0!"
7820,"penetrant(e|er|en) parteien","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenparteien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) parteien",,,,,,,"#DIV/0!"
7821,"penetrant(e|er|en) regierung(en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenregierungen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|en) regierung(en)?",,,,,,,"#DIV/0!"
7822,"penetrant(e|er|en) wirtschaft","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenwirtschaft",TRUE,FALSE,FALSE,2019-04-11,0,0.97,3,"penetrant(e|er|en) wirtschaft",,,,,,,"#DIV/0!"
7823,"penetrant(e|er|en) wissenschaft(en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteerenwissenschaften",TRUE,FALSE,FALSE,2019-04-11,0,1.02,3,"penetrant(e|er|en) wissenschaft(en)?",,,,,,,"#DIV/0!"
7824,"penetrant(e|er|es|en|em) konglomerat(e|es|s|en)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteeresenemkonglomerateessen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|es|en|em) konglomerat(e|es|s|en)?",,,,,,,"#DIV/0!"
7825,"penetrant(e|er|es|en|em) politiker(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteeresenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|er|es|en|em) politiker(s|n|innen|in)?",,,,,,,"#DIV/0!"
7826,"penetrant(e|es|en|em) (.*)establishment(s)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteesenemestablishments",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|es|en|em) (.*)establishment(s)?",,,,,,,"#DIV/0!"
7827,"penetrant(e|es|en|em) system(s)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","penetranteesenemsystems",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"penetrant(e|es|en|em) system(s)?",,,,,,,"#DIV/0!"
7828,"plündernd(e|er|en) bürokratie","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenbürokratie",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) bürokratie",,,,,,,"#DIV/0!"
7829,"plündernd(e|er|en) (.*)elite(n)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeereneliten",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) (.*)elite(n)?",,,,,,,"#DIV/0!"
7830,"plündernd(e|er|en|em) bürokrat(en|in|innen)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenembürokratenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) bürokrat(en|in|innen)?",,,,,,,"#DIV/0!"
7831,"plündernd(e|er|en|em) expert(e|en|in|innen)","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemexperteenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) expert(e|en|in|innen)",,,,,,,"#DIV/0!"
7832,"plündernd(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemfachmaännerseseern",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?",,,,,,,"#DIV/0!"
7833,"plündernd(e|er|en|em) forscher(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemforschersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) forscher(s|n|innen|in)?",,,,,,,"#DIV/0!"
7834,"plündernd(e|er|en|em) gelehrte(n|r)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemgelehrtenr",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) gelehrte(n|r)?",,,,,,,"#DIV/0!"
7835,"plündernd(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemgroßssunternehmerrsrnrinrinnenn",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?",,,,,,,"#DIV/0!"
7836,"plündernd(e|er|en|em) herrschende(n|r)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemherrschendenr",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) herrschende(n|r)?",,,,,,,"#DIV/0!"
7837,"plündernd(e|er|en|em) intellektuelle(n|r)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemintellektuellenr",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) intellektuelle(n|r)?",,,,,,,"#DIV/0!"
7838,"plündernd(e|er|en|em) journalismus","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemjournalismus",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) journalismus",,,,,,,"#DIV/0!"
7839,"plündernd(e|er|en|em) journalist(en|in|innen)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemjournalistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) journalist(en|in|innen)?",,,,,,,"#DIV/0!"
7840,"plündernd(e|er|en|em) (.*)kapitalist(en|in|innen)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemkapitalistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) (.*)kapitalist(en|in|innen)?",,,,,,,"#DIV/0!"
7841,"plündernd(e|er|en|em) (.*)konzern(e|es|s|en)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemkonzerneessen",TRUE,FALSE,FALSE,2019-04-11,0,1.21,3,"plündernd(e|er|en|em) (.*)konzern(e|es|s|en)?",,,,,,,"#DIV/0!"
7842,"plündernd(e|er|en|em) leistungsträger(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemleistungsträgersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) leistungsträger(s|n|innen|in)?",,,,,,,"#DIV/0!"
7843,"plündernd(e|er|en|em) medienvertreter(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,"never appeared term","plünderndeerenemmedienvertretersninnenin",TRUE,FALSE,FALSE,2019-04-18,0,0.95,3,"plündernd(e|er|en|em) medienvertreter(s|n|innen|in)?",,,,,,,"#DIV/0!"
7844,"plündernd(e|er|en|em) politiker(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) politiker(s|n|innen|in)?",,,,,,,"#DIV/0!"
7845,"plündernd(e|er|en|em) regent(en|in|innen)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemregentenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) regent(en|in|innen)?",,,,,,,"#DIV/0!"
7846,"plündernd(e|er|en|em) regierende(n|r)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemregierendenr",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) regierende(n|r)?",,,,,,,"#DIV/0!"
7847,"plündernd(e|er|en|em) souverän(s)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemsouveräns",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) souverän(s)?",,,,,,,"#DIV/0!"
7848,"plündernd(e|er|en|em) spezialist(en|in|innen)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemspezialistenininnen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) spezialist(en|in|innen)?",,,,,,,"#DIV/0!"
7849,"plündernd(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenemwissenschaftlersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?",,,,,,,"#DIV/0!"
7850,"plündernd(e|er|en) fachfrau(en)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenfachfrauen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) fachfrau(en)?",,,,,,,"#DIV/0!"
7851,"plündernd(e|er|en) fachleute(n)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenfachleuten",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) fachleute(n)?",,,,,,,"#DIV/0!"
7852,"plündernd(e|er|en) forschung","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenforschung",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) forschung",,,,,,,"#DIV/0!"
7853,"plündernd(e|er|en) (.*)medien","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenmedien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) (.*)medien",,,,,,,"#DIV/0!"
7854,"plündernd(e|er|en) multis","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenmultis",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) multis",,,,,,,"#DIV/0!"
7855,"plündernd(e|er|en) partei","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenpartei",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) partei",,,,,,,"#DIV/0!"
7856,"plündernd(e|er|en) parteien","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenparteien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) parteien",,,,,,,"#DIV/0!"
7857,"plündernd(e|er|en) regierung(en)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenregierungen",TRUE,FALSE,FALSE,2019-04-11,0,0.98,3,"plündernd(e|er|en) regierung(en)?",,,,,,,"#DIV/0!"
7858,"plündernd(e|er|en) wirtschaft","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenwirtschaft",TRUE,FALSE,FALSE,2019-04-11,0,1.02,3,"plündernd(e|er|en) wirtschaft",,,,,,,"#DIV/0!"
7859,"plündernd(e|er|en) wissenschaft(en)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeerenwissenschaften",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|en) wissenschaft(en)?",,,,,,,"#DIV/0!"
7860,"plündernd(e|er|es|en|em) konglomerat(e|es|s|en)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeeresenemkonglomerateessen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|es|en|em) konglomerat(e|es|s|en)?",,,,,,,"#DIV/0!"
7861,"plündernd(e|er|es|en|em) politiker(s|n|innen|in)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeeresenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|er|es|en|em) politiker(s|n|innen|in)?",,,,,,,"#DIV/0!"
7862,"plündernd(e|es|en|em) (.*)establishment(s)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeesenemestablishments",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|es|en|em) (.*)establishment(s)?",,,,,,,"#DIV/0!"
7863,"plündernd(e|es|en|em) system(s)?","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plünderndeesenemsystems",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündernd(e|es|en|em) system(s)?",,,,,,,"#DIV/0!"
7864,"plündern (.* )?fachleute","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plündernfachleute",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündern (.* )?fachleute",,,,,,,"#DIV/0!"
7865,"plündern (.*)medien","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"very rare terms","plündernmedien",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündern (.*)medien",,,,,,,"#DIV/0!"
7866,"plündern (.* )?multis","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"never appeared term","plündernmultis",TRUE,FALSE,FALSE,2019-04-11,0,0.95,3,"plündern (.* )?multis",,,,,,,"#DIV/0!"
